k,avg_error
1,0.2723333333333333
2,0.27170833333333333
3,0.19887500000000002
4,0.19208333333333333
5,0.15108333333333332
6,0.15158333333333335
7,0.12458333333333332
8,0.122625
9,0.10254166666666666
10,0.104
