k,avg_error
1,0.49970833333333337
2,0.498875
3,0.5051666666666667
4,0.5029166666666667
5,0.49800000000000005
6,0.510125
7,0.5095
8,0.508125
9,0.5087083333333333
10,0.5087499999999998
